Date,Commodity,Point figure
19-Jan,0 Consumer Price Index,102.31
19-Feb,0 Consumer Price Index,102.8
19-Mar,0 Consumer Price Index,102.87
19-Apr,0 Consumer Price Index,103.47
19-May,0 Consumer Price Index,103.29
19-Jun,0 Consumer Price Index,103.36
19-Jul,0 Consumer Price Index,103.08
19-Aug,0 Consumer Price Index,103.5
19-Sep,0 Consumer Price Index,103.54
19-Oct,0 Consumer Price Index,103.62
19-Nov,0 Consumer Price Index,103.52
19-Dec,0 Consumer Price Index,103.65
20-Jan,0 Consumer Price Index,103.32
20-Feb,0 Consumer Price Index,103.67
20-Mar,0 Consumer Price Index,103.49
20-Apr,0 Consumer Price Index,103.14
20-May,0 Consumer Price Index,103.12
20-Jun,0 Consumer Price Index,103.32
20-Jul,0 Consumer Price Index,103.69
20-Aug,0 Consumer Price Index,103.71
20-Sep,0 Consumer Price Index,103.71
20-Oct,0 Consumer Price Index,103.81
20-Nov,0 Consumer Price Index,103.74
20-Dec,0 Consumer Price Index,103.89
21-Jan,0 Consumer Price Index,104.24
21-Feb,0 Consumer Price Index,104.62
21-Mar,0 Consumer Price Index,104.87
21-Apr,0 Consumer Price Index,105.26
21-May,0 Consumer Price Index,105.42
21-Jun,0 Consumer Price Index,105.36
21-Jul,0 Consumer Price Index,105.71
21-Aug,0 Consumer Price Index,105.96
21-Sep,0 Consumer Price Index,106.29
21-Oct,0 Consumer Price Index,107.09
21-Nov,0 Consumer Price Index,107.57
21-Dec,0 Consumer Price Index,107.49
22-Jan,0 Consumer Price Index,108.8
22-Feb,0 Consumer Price Index,109.36
22-Mar,0 Consumer Price Index,110.95
